ParName   Value   Gradient
recdev1(1963)    -0.152115  -0.00457876
recdev1(1964)      0.20903  -0.00788248
recdev1(1965)      0.13189  -0.00689246
recdev1(1966)     0.852251   -0.0173416
recdev1(1967)    0.0088696   -0.0053565
recdev1(1968)    0.0670469  -0.00558984
recdev1(1969)    -0.018015  -0.00458486
recdev1(1970)    0.0381076  -0.00460017
recdev1(1971)   0.00195538  -0.00398179
recdev1(1972)    -0.199391  -0.00230303
recdev1(1973)    -0.368328  -0.00115444
recdev1(1974)    -0.100055   -0.0022608
recdev1(1975)    -0.077498  -0.00180986
recdev1(1976)     0.174215   -0.0026034
recdev1(1977)     0.081701  -0.00154127
recdev1(1978)    -0.220183  0.000384229
recdev1(1979)    -0.208182  0.000544272
recdev1(1980)   -0.0292207  0.000407822
recdev1(1981)     -0.15769   0.00107478
recdev1(1982)    -0.312519   0.00181859
recdev1(1983)    -0.116447   0.00154653
recdev1(1984)     0.312261  0.000957658
recdev1(1985)    -0.184335   0.00232477
recdev1(1986)    -0.720692   0.00289409
recdev1(1987)    -0.421051   0.00287958
recdev1(1988)    0.0243178   0.00270974
recdev1(1989)     0.258409   0.00258063
recdev1(1990)     0.265982   0.00266383
recdev1(1991)   -0.0502224   0.00314621
recdev1(1992)    -0.581038   0.00333141
recdev1(1993)    0.0997903   0.00322928
recdev1(1994)     0.270782   0.00314722
recdev1(1995)     -0.27406   0.00345792
recdev1(1996)    -0.131072   0.00338826
recdev1(1997)    -0.205821   0.00349261
recdev1(1998)     0.665388   0.00311348
recdev1(1999)     0.272841   0.00339376
recdev1(2000)   -0.0929774   0.00352769
recdev1(2001)    -0.256242   0.00360366
recdev1(2002)    -0.134729    0.0036586
recdev1(2003)    -0.333325   0.00370828
recdev1(2004)    -0.202665    0.0037677
recdev1(2005)    -0.141443   0.00380882
recdev1(2006)     0.470836   0.00382795
recdev1(2007)     0.640176   0.00378075
recdev1(2008)     0.937203   0.00373176
recdev1(2009)     0.130269   0.00378478
recdev1(2010)    -0.143137   0.00379516
recdev1(2011)    -0.209143   0.00375385
recdev1(2012)    0.0666706    0.0037685
Fcast_recruitments(2013)    -0.060343 -6.23605e-006
Fcast_recruitments(2014)            0            0
Fcast_recruitments(2015)            0            0
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
