Area,Bio_Pattern,Gender,BirthSeas,SubMorph,Morph,Yr,Seas,Time,Beg/Mid,Era,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,1,1,1,1,1,1880,1,1880.5,M,TIME,6815.86,5925.47,5151.39,4478.42,3893.33,3384.63,2942.37,2557.92,2223.71,1933.18,1680.63,1461.08,1270.21,1104.28,960.03,834.621,725.595,630.811,548.409,476.77,414.49,360.346,313.274,272.352,236.775,205.845,178.956,155.579,135.256,117.588,102.227,88.8736,77.2642,67.1713,58.3968,50.7685,44.1367,38.3712,33.3588,29.0012,193.012
1,1,1,1,1,1,1881,1,1881,B,TIME,7310.02,6355.11,5524.91,4803.16,4175.66,3630.06,3155.67,2743.26,2384.76,2073.15,1802.29,1566.83,1362.15,1184.21,1029.51,895.026,778.109,676.465,588.099,511.276,444.488,386.425,335.947,292.063,253.911,220.743,191.907,166.839,145.045,126.098,109.626,95.3056,82.856,72.0326,62.6231,54.4428,47.331,41.1482,35.7731,31.1001,206.981
1,1,1,1,1,1,1881,1,1881.5,M,TIME,6815.87,5925.51,5151.43,4478.42,3893.22,3384.35,2941.91,2557.33,2223.08,1932.58,1680.08,1460.59,1269.78,1103.9,959.7,834.334,725.345,630.594,548.22,476.606,414.347,360.222,313.166,272.258,236.693,205.774,178.894,155.525,135.209,117.547,102.192,88.8429,77.2375,67.148,58.3766,50.7509,44.1214,38.3579,33.3473,28.9912,192.945
1,1,1,1,1,1,1882,1,1882,B,TIME,7310.01,6355.13,5524.95,4803.19,4175.63,3629.89,3155.28,2742.63,2384,2072.35,1801.53,1566.15,1361.54,1183.67,1029.05,894.622,777.757,676.159,587.833,511.044,444.287,386.25,335.795,291.93,253.796,220.643,191.82,166.763,144.979,126.041,109.576,95.2623,82.8184,71.9999,62.5947,54.418,47.3095,41.1295,35.7568,31.086,206.887
1,1,1,1,1,1,1882,1,1882.5,M,TIME,6815.86,5925.53,5151.46,4478.42,3893.12,3384.04,2941.33,2556.51,2222.13,1931.62,1679.19,1459.79,1269.08,1103.29,959.163,833.866,724.938,630.24,547.912,476.338,414.115,360.019,312.99,272.105,236.56,205.658,178.793,155.438,135.133,117.481,102.135,88.7929,77.194,67.1103,58.3438,50.7224,44.0966,38.3363,33.3285,28.9749,192.837
1,1,1,1,1,1,1883,1,1883,B,TIME,7309.96,6355.11,5524.97,4803.22,4175.61,3629.72,3154.84,2741.9,2383.02,2071.26,1800.45,1565.15,1360.65,1182.89,1028.36,894.024,777.237,675.706,587.439,510.702,443.989,385.991,335.57,291.734,253.625,220.495,191.692,166.651,144.882,125.956,109.503,95.1984,82.7628,71.9516,62.5527,54.3815,47.2777,41.1019,35.7328,31.0651,206.748
1,1,1,1,1,1,1883,1,1883.5,M,TIME,6815.81,5925.51,5151.47,4478.42,3893.02,3383.73,2940.72,2555.59,2220.99,1930.4,1678,1458.7,1268.11,1102.44,958.42,833.218,724.374,629.749,547.485,475.967,413.792,359.739,312.746,271.893,236.376,205.498,178.654,155.317,135.028,117.389,102.055,88.7237,77.1338,67.0579,58.2983,50.6828,44.0622,38.3064,33.3025,28.9523,192.686
1,1,1,1,1,1,1884,1,1884,B,TIME,7309.88,6355.07,5524.95,4803.22,4175.59,3629.55,3154.41,2741.13,2381.94,2069.98,1799.11,1563.87,1359.49,1181.86,1027.46,893.234,776.548,675.107,586.918,510.249,443.595,385.649,335.272,291.475,253.4,220.299,191.521,166.503,144.753,125.844,109.405,95.1138,82.6893,71.8877,62.4971,54.3332,47.2357,41.0654,35.7011,31.0375,206.564
1,1,1,1,1,1,1884,1,1884.5,M,TIME,6815.74,5925.47,5151.46,4478.4,3892.92,3383.42,2940.1,2554.64,2219.76,1929,1676.57,1457.35,1266.89,1101.36,957.473,832.392,723.654,629.122,546.94,475.493,413.38,359.38,312.435,271.622,236.14,205.293,178.476,155.162,134.893,117.272,101.953,88.6352,77.0569,66.9911,58.2401,50.6323,44.0183,38.2682,33.2693,28.9234,192.494
1,1,1,1,1,1,1885,1,1885,B,TIME,7309.78,6355,5524.92,4803.21,4175.55,3629.38,3153.98,2740.36,2380.83,2068.62,1797.61,1562.37,1358.08,1180.59,1026.34,892.255,775.693,674.362,586.269,509.685,443.105,385.222,334.901,291.153,253.12,220.055,191.31,166.319,144.593,125.705,109.284,95.0086,82.5978,71.8082,62.428,54.2731,47.1835,41.02,35.6616,31.0032,206.335
1,1,1,1,1,1,1885,1,1885.5,M,TIME,6815.64,5925.41,5151.42,4478.36,3892.8,3383.11,2939.49,2553.68,2218.5,1927.52,1674.99,1455.79,1265.44,1100.06,956.326,831.388,722.778,628.359,546.276,474.916,412.878,358.944,312.055,271.292,235.853,205.044,178.259,154.973,134.729,117.13,101.829,88.5274,76.9632,66.9096,58.1693,50.5707,43.9648,38.2217,33.2289,28.8882,192.26
1,1,1,1,1,1,1886,1,1886,B,TIME,7309.66,6354.91,5524.86,4803.17,4175.49,3629.2,3153.55,2739.59,2379.72,2067.23,1796.04,1560.73,1356.48,1179.11,1025.01,891.088,774.673,673.472,585.495,509.011,442.519,384.713,334.458,290.768,252.785,219.764,191.056,166.099,144.401,125.538,109.14,94.8828,82.4884,71.713,62.3453,54.2012,47.121,40.9656,35.6143,30.9621,206.062
1,1,1,1,1,1,1886,1,1886.5,M,TIME,6815.53,5925.33,5151.36,4478.3,3892.66,3382.78,2938.88,2552.73,2217.23,1926.01,1673.34,1454.1,1263.81,1098.56,954.987,830.21,721.748,627.461,545.494,474.236,412.286,358.429,311.608,270.903,235.515,204.75,178.004,154.751,134.536,116.962,101.683,88.4005,76.8529,66.8137,58.0859,50.4982,43.9017,38.1669,33.1812,28.8468,191.984
1,1,1,1,1,1,1887,1,1887,B,TIME,7309.52,6354.81,5524.78,4803.11,4175.41,3628.99,3153.1,2738.82,2378.61,2065.84,1794.45,1559.02,1354.76,1177.47,1023.5,889.743,773.491,672.439,584.594,508.227,441.836,384.119,333.942,290.319,252.395,219.425,190.761,165.842,144.179,125.345,108.971,94.7364,82.3611,71.6023,62.249,54.1175,47.0482,40.9024,35.5594,30.9143,205.744
